index,clubId,clubName,city,ground,groundCapacity,groundLatitude,groundLongitude,homeWins,homeDraws,homeLoses,awayWins,awayDraws,awayLoses,possesions,passAccuracy
0,10,Liverpool,Liverpool,Anfield,54074,53.4313,-2.96158,16,0,0,12,2,1,59.5,84.2
1,11,Manchester City,Manchester,Etihad Stadium,55000,53.4832,-2.2004200000000003,11,2,2,9,1,6,62.0,89.2
2,4,Chelsea,London,Stamford Bridge,41798,51.4816,-0.19101600000000002,8,3,5,8,3,5,57.3,84.9
3,26,Leicester City,Leicester,King Power Stadium,32312,52.62,-1.1415,9,4,3,7,3,6,55.1,82.7
4,12,Manchester United,Manchester,Old Trafford,75635,53.4626,-2.29103,9,5,2,5,5,6,54.0,83.1
5,43,Burnley,Burnley,Turf Moor,21401,53.7885,-2.23149,8,2,6,5,4,7,43.2,69.0
6,38,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31500,52.5904,-2.13077,6,7,3,7,6,3,48.2,79.0
7,20,Southampton,Southampton,St Marys Stadium,32505,50.9065,-1.3908200000000002,4,2,10,8,2,6,48.3,71.9
8,21,Tottenham Hotspur,London,Tottenham Hotspur Stadium,62062,51.6042,-0.0663,9,3,4,3,6,6,51.8,81.2
9,6,Crystal Palace,London,Selhurst Park,25073,51.3979,-0.085923,6,4,6,5,5,6,46.2,76.0
10,7,Everton,Liverpool,Goodison Park,39571,53.4387,-2.96639,8,5,3,4,3,9,48.7,77.2
11,18,Sheffield United,Sheffield,Bramall Lane,30370,53.3699,-1.4706700000000001,7,3,5,4,8,4,45.1,75.0
12,1,Arsenal,London,Emirates Stadium,60272,51.5548,-0.10853299999999999,8,5,3,3,8,5,53.4,53.4
13,23,Newcastle United,Newcastle,St James Park,52405,54.9752,-1.62235,6,7,3,5,2,9,41.5,74.8
14,2,Aston Villa,Birmingham,Villa Park,42682,52.5085,-1.88495,5,3,8,2,3,11,46.7,77.4
15,127,AFC Bournemouth,Bournemouth,Vitality Stadium,11464,50.7349,-1.8389900000000001,4,5,7,3,1,12,46.9,76.4
16,131,Brighton and Hove Albion,Falmer,Amex Stadium,30750,50.8606,-0.082237,5,6,5,2,6,8,53.0,81.3
17,25,West Ham United,London,London Stadium,60000,51.5087,-0.0098,5,3,8,3,3,10,44.8,75.8
18,33,Watford,Watford,Vicarage Road,22000,51.6496,-0.401731,4,6,6,2,4,10,44.4,73.3
19,14,Norwich City,Norwich,Carrow Road,27244,52.6224,1.3086,4,3,9,1,3,12,50.5,80.3
